Département,Slug,Nom_reel,Code_postal,INSEE
1,lancrans,Lancrans,1200,1205
1,echenevex,Échenevex,1170,1153
1,saint-jean-sur-veyle,Saint-Jean-sur-Veyle,1290,1365
1,billiat,Billiat,1200,1044
1,abergement-de-varey,L'Abergement-de-Varey,1640,1002
1,villeneuve-01,Villeneuve,1480,1446
1,villars-les-dombes,Villars-les-Dombes,1330,1443
1,thezillieu,Thézillieu,1110,1417
1,saint-etienne-sur-reyssouze,Saint-Étienne-sur-Reyssouze,1190,1352
1,souclin,Souclin,1150,1411
1,saint-just-01,Saint-Just,1250,1369
1,civrieux,Civrieux,1390,1105
1,argis,Argis,1230,1017
1,talissieu,Talissieu,1510,1415
1,birieux,Birieux,1330,1045
1,saint-julien-sur-veyle,Saint-Julien-sur-Veyle,1540,1368
1,thoiry-01,Thoiry,1710,1419
1,laiz,Laiz,1290,1203
1,cressin-rochefort,Cressin-Rochefort,1350,1133
1,saint-champ,Saint-Champ,1300,1341
1,saint-georges-sur-renon,Saint-Georges-sur-Renon,1400,1356
1,lantenay-01,Lantenay,1430,1206
1,vernoux,Vernoux,1560,1433
1,cormaranche-en-bugey,Cormaranche-en-Bugey,1110,1122
1,sainte-euphemie,Sainte-Euphémie,1600,1353
1,beaupont,Beaupont,1270,1029
1,brens-01,Brens,1300,1061
1,ramasse,Ramasse,1250,1317
1,divonne-les-bains,Divonne-les-Bains,1220,1143
1,leaz,Léaz,1200,1209
1,villes,Villes,1200,1448
1,saint-julien-sur-reyssouze,Saint-Julien-sur-Reyssouze,1560,1367
1,groslee,Groslée,1680,1182
1,vandeins,Vandeins,1660,1429
1,verjon,Verjon,1270,1432
1,saint-andre-sur-vieux-jonc,Saint-André-sur-Vieux-Jonc,1240,1336
1,saint-andre-d-huiriat,Saint-André-d'Huiriat,1290,1334
1,grilly,Grilly,1220,1180
1,cessy,Cessy,1170,1071
1,ordonnaz,Ordonnaz,1510,1280
1,vescours,Vescours,1560,1437
1,meillonnas,Meillonnas,1370,1241
1,geovreisset,Géovreisset,1100,1171
1,ceyzerieu,Ceyzérieu,1350,1073
1,beard-geovreissiat,Béard-Géovreissiat,1460,1170
1,burbanche,La Burbanche,1510,1066
1,perrex,Perrex,1540,1291
1,villemotier,Villemotier,1270,1445
1,jasseron,Jasseron,1250,1195
1,corveissiat,Corveissiat,1250,1125
1,journans,Journans,1250,1197
1,sermoyer,Sermoyer,1190,1402
1,charix,Charix,1130,1087
1,arbignieu,Arbignieu,1300,1015
1,leyssard,Leyssard,1450,1214
1,saint-jean-de-thurigneux,Saint-Jean-de-Thurigneux,1390,1362
1,frans,Frans,1480,1166
1,tenay,Tenay,1230,1416
1,bage-la-ville,Bâgé-la-Ville,1380,1025
1,montmerle-sur-saone,Montmerle-sur-Saône,1090,1263
1,courmangoux,Courmangoux,1370,1127
1,baneins,Baneins,1990,1028
1,lagnieu,Lagnieu,1150,1202
1,attignat,Attignat,1340,1024
1,saint-andre-de-bage,Saint-André-de-Bâgé,1380,1332
1,pont-de-vaux,Pont-de-Vaux,1190,1305
1,amberieu-en-bugey,Ambérieu-en-Bugey,1500,1004
1,peyzieux-sur-saone,Peyzieux-sur-Saône,1140,1295
1,crozet-01,Crozet,1170,1135
1,seyssel-01,Seyssel,1420,1407
1,beynost,Beynost,1700,1043
1,versonnex-01,Versonnex,1210,1435
1,saint-laurent-sur-saone,Saint-Laurent-sur-Saône,1620,1370
1,artemare,Artemare,1510,1022
1,montracol,Montracol,1310,1264
1,parves,Parves,1300,1286
1,pugieu,Pugieu,1510,1316
1,virieu-le-grand,Virieu-le-Grand,1510,1452
1,saint-remy-01,Saint-Rémy,1310,1385
1,rance,Rancé,1390,1318
1,grieges,Grièges,1290,1179
1,grand-corent,Grand-Corent,1250,1177
1,outriaz,Outriaz,1430,1282
1,montagnieu-01,Montagnieu,1470,1255
